id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,listing_id,polarity,price,minimum_nights,maximum_nights,host_is_superhost
965803227717685421,5,5.0,4.8,4.8,4.8,5.0,4.8,4.6,Musashino Shi,9.658032277176854e+17,0.9204,"19,171.00",2,90,False
965826016318638702,5,4.0,3.8,4.4,4.6,4.8,4.2,4.0,Musashino Shi,9.658260163186387e+17,0.8914333333333334,"18,980.00",2,90,False
966177816995572151,3,4.33,4.33,4.33,5.0,5.0,4.0,4.67,Shinjuku Ku,9.661778169955721e+17,0.3236666666666667,"25,714.00",2,365,False
966188830851922071,9,4.89,4.89,5.0,5.0,5.0,4.78,4.78,Taito Ku,9.66188830851922e+17,0.7474666666666666,"11,520.00",1,365,False
966297711861030985,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Sumida Ku,9.66297711861031e+17,0.872,"13,709.00",1,365,False
966298001587010678,6,4.71,4.86,5.0,4.43,4.86,5.0,4.43,Sumida Ku,9.662980015870107e+17,0.4404,"17,229.00",1,365,False
966343810145713383,10,5.0,4.9,5.0,5.0,5.0,5.0,5.0,Sumida Ku,9.663438101457134e+17,0.66015,"27,771.00",4,365,True
966374626571650275,16,4.31,4.0,4.63,4.44,4.38,4.5,4.19,Taito Ku,9.663746265716503e+17,0.8203857142857143,"15,243.00",1,365,True
966416736126005357,9,5.0,5.0,5.0,5.0,5.0,4.78,5.0,Sumida Ku,9.664167361260054e+17,0.8815999999999999,"22,800.00",5,365,True
966497051561983022,1,4.0,4.0,5.0,5.0,5.0,5.0,4.0,Shinjuku Ku,9.66497051561983e+17,0.9517,"40,857.00",2,365,False
966545513764217459,10,5.0,5.0,5.0,5.0,5.0,4.7,5.0,Taito Ku,9.665455137642175e+17,0.7535375,"73,086.00",2,365,False
967017710418675041,4,4.75,4.5,4.75,5.0,4.75,4.75,4.5,Taito Ku,9.670177104186751e+17,0.5020666666666667,"90,000.00",1,365,False
967427733084519126,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Toshima Ku,9.674277330845192e+17,0.9484,"15,413.00",1,365,False
967559247513275391,7,4.57,4.57,4.43,4.71,4.71,4.86,4.43,Sumida Ku,9.675592475132754e+17,0.8674666666666666,"15,000.00",2,365,False
967623284256896671,3,4.67,4.67,4.0,4.67,5.0,4.67,4.33,Chuo Ku,9.676232842568966e+17,0.56525,"41,730.00",1,365,False
967680218925152251,3,4.67,4.67,4.67,4.67,5.0,4.67,4.67,Shibuya Ku,9.676802189251523e+17,0.7921333333333332,"28,887.00",4,365,False
970742422689286135,8,4.88,4.75,5.0,4.88,5.0,4.63,4.75,Toshima Ku,9.707424226892861e+17,0.8335,"47,143.00",3,365,False
972776126849275730,34,4.71,4.79,4.76,4.94,4.91,4.97,4.82,Sumida Ku,9.727761268492758e+17,0.6673857142857144,"34,000.00",1,90,False
972786648641325641,6,4.67,4.67,4.17,5.0,4.67,5.0,4.5,Sumida Ku,9.727866486413257e+17,0.8303,"21,714.00",1,90,False
