listing_id,id,date,reviewer_id,reviewer_name,comments,language,polarity
972776126849275730,1019245689733969802,2023-11-07,101396772,May,The place is so convenient! 👌,en,0.0
972776126849275730,1025755520393278974,2023-11-16,263928959,Sonny,Stayed from November  -    and all we can say is we had a pleasant vacation! Location is super near the train station and convenient stores. You also have a nice view of the sky tree! Will definitely book again next time we stay in Tokyo!,en,0.927
972776126849275730,1030776093828956890,2023-11-22,37279714,Harvey,"Our stay at J-Court Oshiage Deluxe Room was excellent. Its proximity to the train station and abundance of nearby restaurants and convenience stores made it incredibly convenient. The proximity to the Skytree and mall further enhanced the experience, providing ample options for shopping and dining. We highly recommend this accommodation and look forward to returning in the future. Additionally, the ease of reaching Narita Airport via a single train ride is a major plus.",en,0.8687
972776126849275730,1031486127737857763,2023-11-23,97513213,Emily,"Super great host, and subway is right around the corner. Best place next to Tokyo Sky Tree.",en,0.9217
972776126849275730,1033704600620104190,2023-11-27,544959463,Bangtao,"Very near to metro station Oshiage,  just   walk from the exit  . Location is very near to skytree and shopping place.  Room is just nice to sleep   people.",en,0.4215
972776126849275730,1033735537930403255,2023-11-27,505166828,Aldrich,"I’ve been to Japan   times this year and this trip was the most special because i was bringing my Filipino family to Japan for the first time and this place did not disappoint!<br/>The place was PERFECT location especially  for my mom who is   years old. It’s very important that the place you get in Japan is close to the train station and this place is literally next to Oshiage station.<br/>It’s a few steps to a family mart, restaurants and Life supermarket that’s open until  . <br/>My only negative comment is the carpet kinda has a carpet smell but it’s the same as the other hotels i checked in Japan before. The toilet seat also is basic but that’s not that important.<br/>Will definitely consider checking in here again in case i bring my family again in Japan. Thank you so much",en,0.5521
972776126849275730,1046062124408622562,2023-12-14,132818868,Shahrul Hisham,"This AirBnb is excellently located just a stone's throw from Oshiage Station exit   and  ! You'll be greeted by the skytree upon exiting the station. <br/>The room fits   single beds and a queen size sofa bed. Small kitchen is good enough to cook your meals and the toilet is a typical Japanese toilet. The toilet bowl does not have a bidet though. Free WIFI but the modem and router could have been placed at other locations as we knocked into it several times. Washer and dryer at Level  . I do feel the dryer is not hot enough as i had to dryer my clothes for at least   hrs! Family mart and  -  is just nearby. Skytree mall is just across the road. Shuttle buses are available to Haneda airport and Disneyland/sea at skytree bus station so it's super convenient. Those who want to rent a car, you may approach the Nippon car rental also just across the street. Basically, i feel this place is a good base if you want to have a good rest after a tiring day of walking around Tokyo. Peaceful place.",en,0.9807
972786648641325641,1008365245424682981,2023-10-23,14201275,Kashif,"Pros: <br/>Location was incredible!!! steps away from Family mart and Oshiage Station and one signal crossing away from Skytree and Solamachi. <br/>Cons: <br/>Unfortunately had a few things was just annoying. <br/>- We got the room which was on the   floor which is basically Ground floor in Japan. which means if you stay here during the weekend you will have alot of loud drunks on the streat right outside since there are few small izakaya type of restaurants right outside. <br/>- Maybe the worst of all, right above the door you have this SUPER BRIGHT green exit sign that stays on and is really bright enough to keep you awake at night. <br/>- Room was not cleaned when we got in but Yuqian and team was very quick in their response and said they will send someone to clean up. <br/>-Hot water was not switched on when i got in so had to wait<br/>- No automatic toilet and no bidet <br/>- Bathtub does not drain properly <br/>if location is key, and you dont really care much about room defo go for it. Yuqian and team was great.",en,0.7178
972786648641325641,1017062256546871112,2023-11-04,32971680,Thu,"Our family had a good time staying at Yuqian’s place. Convenient and Safe. Very close to bus and subway station, supermarket & Family Mart, and Tokyo Skytree (with the shopping mall) all places are just  -  mins away.",en,0.7003
972786648641325641,1024326406972756627,2023-11-14,97257128,Casa,Amazing location! The place is clean and it was perfect for our family of  .<br/>I liked that we have access to the laundry machines.<br/>Def recommend!,en,0.944
970742422689286135,997464918483773918,2023-10-08,19544518,Boyd Tisak,"Tomoaki is an amazing and proactive host.  I'm quite familiar with Tokyo so did not communicate much with Tomoaki but she always checking in with us. <br/>This newly renovated apartment is easy to find and on   floor full of brand new amenities.  Super clean and has   bedroom with   beds +   sofa bed.  Spacious and can accommodate  -  people comfortably, any more would be too crowded.<br/>Location is very convenient with at least   supermarkets which we switch everyday to buy dinner box. <br/>Nearest station is Kita-Ikebukuro on Tobu-Tojo Line ( )   walk.  Other near by stations are within   but you will definitely appreciated sightseeing real Tokyo houses and neighborhood which felt very safe at night with police on bicycle patrolling the area.<br/>So.. I highly recommend it. Its not touristy so can wind down from being a tourist and appreciated the real neighborhood where children can run around.  This is where real Tokyoite live",en,0.9919
970742422689286135,1019198280471440194,2023-11-07,532495132,Nur,The host is very responsive and helpful. One of my luggages broke and they helped me to dispose it. They also let me to leave my luggage even though i have checked but since I changed my plans we brought the luggage together with us.<br/>Overall experience was very great. Peaceful surroundings with AEON nearby.   mins walk to train station. The host also prepared everything.,en,0.944
970742422689286135,1034423694049338962,2023-11-28,105916572,Nita,Good place,en,0.4404
970742422689286135,1040912140447325129,2023-12-06,99161375,タナカン,Cozy compact house. Great location with train stations nearby. Host was very responsive to the chat which is great. Couldn’t ask for more. I recommend this place. My family has a great time staying here for a week.,en,0.9577
